CustomerId,DELI GOURMET,ATHENS PIZZA,REST LA INMACULADA,T G I FRIDAYS,EL REPUBLICANO,BARRIO PIZZA,REFRES LA INMACULADA,GRUPO AMANOA,THE COFFEE BEAN Y TEA,THE COFFEE BEAN AND TE,KRISPY KREME EL DORA,CIAO BELLA GOURMET,MICHOACANA & LALOS,KRISPY KREME,CASA BRUJA TAP ROOM,GUT,CLV,RFM,RFM Score,Beneficio
99,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.67,Can't Loose Them,12,Visa débito
131,79.04119489,0,0,0,0,0,0,0,0,0,0,0,0,20.95880511,0,0,37.36,Can't Loose Them,9,MillasHotel
187,81.53780859,0,0,0,0,0,0,0,0,0,0,0,0,18.46219141,0,0,101.36,Can't Loose Them,11,MillasAerolinea
261,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.34,Can't Loose Them,10,MillasAerolinea
342,76.98113208,0,0,0,0,0,0,0,0,0,0,0,0,23.01886792,0,0,19.72,Can't Loose Them,11,MillasAerolinea
366,90.76483979,0,0,0,0,0,0,0,0,0,0,0,0,9.235160205,0,0,136.8,Can't Loose Them,11,MillasAerolinea
533,89.79014383,0,0,0,0,0,0,0,0,0,0,0,0,10.20985617,0,0,207.17,Can't Loose Them,9,MillasHotel
558,63.9292196,0,0,0,0,0,0,0,0,0,0,0,0,36.0707804,0,0,34.58,Can't Loose Them,9,MillasAerolinea
740,90.32258065,0,0,0,0,0,0,0,0,0,0,0,0,9.677419355,0,0,42.11,Can't Loose Them,11,MillasAerolinea
789,89.62259846,0,0,0,0,0,0,0,0,0,0,0,0,10.37740154,0,0,182.88,Can't Loose Them,12,MillasRestoPub
915,94.01938544,0,0,0,0,0,0,0,0,0,0,0,0,5.98061456,0,0,91.07,Can't Loose Them,9,MillasAerolinea
933,74.60595447,0,0,0,0,0,0,0,0,0,0,0,0,25.39404553,0,0,62.35,Can't Loose Them,9,MillasRestoPub
935,57.17173532,0,0,0,0,0,0,0,0,0,0,0,0,42.82826468,0,0,126.34,Can't Loose Them,11,MillasAerolinea
1187,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,Can't Loose Them,9,Visa débito
1389,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,Can't Loose Them,9,MillasAerolinea
1429,96.72296446,0,0,0,0,0,0,0,0,0,0,0,0,3.277035543,0,0,184.73,Can't Loose Them,12,MillasAerolinea
1497,83.94961867,0,0,0,0,0,0,0,0,0,0,0,0,16.05038133,0,0,,Can't Loose Them,9,Visa débito
1551,89.24680691,0,0,0,0,0,0,0,0,0,0,0,0,10.75319309,0,0,97.13,Can't Loose Them,11,MillasHotel
1553,64.50305487,0,0,0,0,0,0,0,0,0,0,0,0,35.49694513,0,0,162.02,Can't Loose Them,10,MillasAerolinea
1711,88.74227493,0,0,0,0,0,0,0,0,0,0,0,0,11.25772507,0,0,78.09,Can't Loose Them,10,MillasAerolinea
