_id,trans_after,revenue_after,test_coupon,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,race,gender
6001,0,0,control,facebook,6,62.99,6,1,nothing,white,male
6002,0,0,coupon,google,2,53.99,0,7,something,white,male
6003,0,0,coupon,facebook,3,88.98,3,4,nothing,white,male
6004,0,0,control,facebook,1,68.99,1,19,nothing,minority,female
6005,0,0,coupon,instagram,3,66.49,4,20,nothing,white,female
6006,1,46.99,control,instagram,1,46.99,1,22,nothing,white,female
6007,0,0,coupon,instagram,1,34.99,5,20,nothing,white,female
6008,0,0,control,google,0,0,7,21,nothing,white,female
6009,0,0,control,google,7,61.99,5,14,something,white,female
6010,0,0,coupon,instagram,5,57.49,3,17,nothing,white,female
6011,0,0,coupon,google,0,0,1,13,nothing,white,male
6012,0,0,control,instagram,1,53.99,2,11,nothing,white,male
6013,0,0,coupon,facebook,2,236.97,6,19,something,white,male
6014,0,0,control,instagram,6,69.99,0,20,nothing,white,female
6015,0,0,control,instagram,1,67.99,5,23,something,white,male
6016,0,0,control,referral,0,0,4,16,nothing,white,female
6017,0,0,coupon,referral,3,167.97,5,3,nothing,white,male
6018,0,0,control,instagram,0,0,1,17,something,white,female
6019,0,0,control,google,1,118.98,0,11,nothing,white,female
6020,0,0,control,google,2,57.49,3,3,nothing,minority,male
6021,1,45.192,coupon,facebook,0,0,7,17,nothing,white,female
6022,0,0,control,google,2,71.49,4,18,nothing,white,female
6023,0,0,coupon,google,2,120.98,7,9,nothing,minority,female
6024,0,0,control,google,5,67.99,0,12,nothing,white,male
6025,0,0,control,instagram,1,80.99,4,16,something,white,male
6026,1,59.99,control,google,21,59.99,3,25,nothing,white,female
6027,0,0,control,instagram,0,0,6,28,nothing,white,female
6028,0,0,coupon,google,0,0,2,8,nothing,minority,female
6029,0,0,coupon,facebook,0,0,4,7,something,white,female
6030,0,0,control,instagram,0,0,5,19,nothing,white,female
6031,0,0,control,google,0,0,4,15,nothing,white,female
6032,0,0,control,instagram,2,81.99,1,13,something,white,female
6033,0,0,coupon,google,2,54.49,5,2,something,white,male
6034,2,141.98,control,google,15,70.99,0,15,something,minority,male
6035,0,0,coupon,google,0,0,4,21,nothing,white,female
6036,0,0,control,instagram,3,154.47,0,9,nothing,white,female
6037,0,0,control,instagram,2,58.99,2,1,nothing,white,male
6038,0,0,control,instagram,1,80.49,1,19,nothing,white,male
6039,0,0,coupon,instagram,1,52.49,0,18,nothing,white,female
6040,0,0,control,referral,0,0,2,17,something,minority,female
6041,0,0,control,instagram,0,0,2,26,something,white,female
6042,0,0,coupon,instagram,2,126.98,5,22,nothing,white,female
6043,2,80.784,coupon,google,0,0,0,10,something,minority,female
6044,0,0,coupon,instagram,1,60.99,5,11,nothing,white,male
6045,0,0,coupon,google,2,61.49,7,15,nothing,white,female
6046,0,0,control,google,0,0,0,5,something,minority,male
6047,0,0,control,google,1,43.99,4,20,nothing,minority,female
6048,0,0,control,instagram,0,0,3,20,nothing,white,female
6049,0,0,coupon,facebook,0,0,0,13,nothing,white,male
6050,0,0,control,facebook,2,125.98,7,21,nothing,white,female
6051,0,0,coupon,instagram,6,52.49,3,14,nothing,white,male
6052,0,0,control,google,1,57.49,6,18,something,minority,female
6053,0,0,coupon,instagram,0,0,5,14,nothing,white,male
6054,0,0,control,facebook,0,0,0,12,nothing,white,male
6055,0,0,control,facebook,0,0,6,9,nothing,white,male
6056,0,0,control,instagram,4,145.98,2,14,nothing,white,female
6057,0,0,control,facebook,7,77.99,1,8,nothing,white,male
6058,1,53.592,coupon,referral,3,66.99,5,8,nothing,white,male
6059,0,0,coupon,google,14,78.99,6,8,something,minority,male
